sampleID	genomicsSampleID	d15N	organicd13C	nitrogenPercent	organicCPercent	soilInWaterpH	soilInCaClpH
TOOL_043-O-5-7-20170719	TOOL_043-O-20170719-COMP	2.5	-25.8	0.78	39.76	4.51	3.45
TOOL_043-O-7.5-31-20170719	TOOL_043-O-20170719-COMP	3.8	-25.7	0.89	34.95	5.51	4.97
TOOL_043-O-32.5-27-20170719	TOOL_043-O-20170719-COMP	3	-26.6	1.9	37.76	5.51	4.34
TOOL_041-O-13-5.5-20170719	TOOL_041-O-20170719-COMP	0.7	-26.1	1.37	43.58	5.55	4.81
TOOL_041-O-4.5-27-20170719	TOOL_041-O-20170719-COMP	-0.7	-26.5	0.92	36.57	4.78	3.69
TOOL_041-O-4.5-27-20170719	TOOL_041-O-20170719-COMP	-0.4	-26.5	0.98	36.85	4.78	3.69
TOOL_041-O-36.5-26-20170719	TOOL_041-O-20170719-COMP	1.6	-26.8	1.48	31.59	5.69	4.96
TOOL_043-M-5-7-20170719	TOOL_043-M-20170719-COMP	2.4	-27.5	0.12	2.59	5.79	4.4
TOOL_041-M-4.5-27-20170719	TOOL_041-M-20170719-COMP	3	-26.1	0.15	3.09	NA	NA
TOOL_042-O-22-9.5-20170719	TOOL_042-O-20170719-COMP	2.8	-25.6	0.93	23.64	5.29	4.47
TOOL_042-O-9.5-15-20170719	TOOL_042-O-20170719-COMP	0.9	-26	1.43	32.83	5.57	4.82
TOOL_042-O-20-33-20170719	TOOL_042-O-20170719-COMP	2.1	-25.7	1.07	40.32	5.2	4.53
TOOL_042-M-9.5-15-20170719	TOOL_042-M-20170719-COMP	2.6	-27.4	0.17	3.97	5.67	4.7
TOOL_042-M-22-9.5-20170719	TOOL_042-M-20170719-COMP	3.7	-27.2	0.17	4.27	5.65	4.34
TOOL_042-M-20-33-20170719	TOOL_042-M-20170719-COMP	3.3	-26.6	0.27	5.65	5.96	4.41
TOOL_044-O-35-14.5-20170719	TOOL_044-O-20170719-COMP	1.8	-25.9	1.51	28.9	5.74	5.36
TOOL_044-O-35-32-20170719	TOOL_044-O-20170719-COMP	2.6	-26.6	1.24	26.67	5.55	5.1
TOOL_044-O-1.5-28.5-20170719	TOOL_044-O-20170719-COMP	0.4	-27.2	1.27	40.6	4.68	4.33
TOOL_044-M-35-32-20170719	TOOL_044-M-20170719-COMP	3.7	-26.5	0.18	3.15	6.07	5.35
TOOL_044-M-35-14.5-20170719	TOOL_044-M-20170719-COMP	2.9	-26.1	0.07	1.15	5.96	5.25
TOOL_044-M-1.5-28.5-20170719	TOOL_044-M-20170719-COMP	2.2	-26.8	0.35	7.51	NA	NA
TOOL_005-O-31.5-6-20170721	TOOL_005-O-20170721-COMP	2.7	-26.6	1.4	40.72	5.86	5.04
TOOL_005-O-16.5-0-20170721	TOOL_005-O-20170721-COMP	2.2	-25.9	1.4	42.15	5.1	4.1
TOOL_005-O-4.5-20.5-20170721	TOOL_005-O-20170721-COMP	2.9	-26.4	1.19	34.06	4.98	4.01
TOOL_005-M-31.5-6-20170721	TOOL_005-M-20170721-COMP	2.8	-27.2	0.26	5.42	5.5	4.52
TOOL_005-M-16.5-0-20170721	TOOL_005-M-20170721-COMP	3.3	-26.6	0.55	10.75	5.09	4.07
TOOL_005-M-16.5-0-20170721	TOOL_005-M-20170721-COMP	3.3	-26.6	0.55	10.54	5.09	4.07
TOOL_005-M-4.5-20.5-20170721	TOOL_005-M-20170721-COMP	3.2	-27.7	0.13	3.1	5.74	4.36
TOOL_006-O-11.5-5.5-20170721	TOOL_006-O-20170721-COMP	1.4	-25.5	1.63	32.84	5.68	4.78
TOOL_006-O-39-35-20170721	TOOL_006-O-20170721-COMP	1.6	-25.9	1.94	39.05	5.67	5.23
TOOL_006-O-34-17.5-20170721	TOOL_006-O-20170721-COMP	2.1	-25.6	2.05	35.69	5.47	4.58
TOOL_006-M-39-35-20170721	TOOL_006-M-20170721-COMP	1.1	-26.7	0.27	5.06	5.35	5.14
TOOL_006-M-34-17.5-20170721	TOOL_006-M-20170721-COMP	1.3	-26.4	0.37	6.4	5.54	4.49
TOOL_002-O-9.5-21.5-20170721	TOOL_002-O-20170721-COMP	3.2	-26.5	2.28	40.43	5.82	5.7
TOOL_002-O-28-1.5-20170721	TOOL_002-O-20170721-COMP	2.5	-26.5	2.13	38.95	6.02	5.66
TOOL_002-O-3-6-20170721	TOOL_002-O-20170721-COMP	3.4	-26	1.81	32.44	6.13	5.95
TOOL_002-O-3-6-20170721	TOOL_002-O-20170721-COMP	3.4	-25.9	1.77	31.72	6.13	5.95
TOOL_001-O-24.5-0-20170721	TOOL_001-O-20170721-COMP	1.9	-26.3	0.78	21.38	5.69	4.65
TOOL_001-O-6-21.5-20170721	TOOL_001-O-20170721-COMP	1.4	-26	1.81	37.12	5.56	4.89
TOOL_001-O-7-18-20170721	TOOL_001-O-20170721-COMP	1.5	-26.1	1.29	31.22	4.99	4.33
TOOL_001-M-24.5-0-20170721	TOOL_001-M-20170721-COMP	-1	-27.5	0.14	3.35	6.17	4.79
TOOL_001-M-7-18-20170721	TOOL_001-M-20170721-COMP	1.4	-27.2	1.27	29.65	5.24	4.06
TOOL_002-M-9.5-21.5-20170721	TOOL_002-M-20170721-COMP	3	-27.2	0.29	5.34	5.57	4.73
TOOL_002-M-3-6-20170721	TOOL_002-M-20170721-COMP	4.2	-26	0.48	7.59	6.43	5.54
TOOL_003-O-0-22.5-20170726	TOOL_003-O-20170726-COMP	1.9	-27.2	2.37	39.01	6.16	5.88
TOOL_003-O-5-14-20170726	TOOL_003-O-20170726-COMP	2.4	-27	2	30.18	6.6	5.79
TOOL_003-O-28-9.5-20170726	TOOL_003-O-20170726-COMP	1.7	-26.2	1.54	26.96	5.96	5.46
TOOL_004-O-3-22.5-20170726	TOOL_004-O-20170726-COMP	1.5	-26.4	1.44	30.76	4.96	4.81
TOOL_004-O-34-34.5-20170726	TOOL_004-O-20170726-COMP	1.8	-26.3	1.5	29.39	5.53	4.31
TOOL_004-M-34-34.5-20170726	TOOL_004-M-20170726-COMP	1.9	-27.3	0.18	3.58	5.72	4.63
TOOL_004-M-3-22.5-20170726	TOOL_004-M-20170726-COMP	1.9	-27.7	0.15	2.87	5.98	4.75
TOOL_004-M-2.5-11.5-20170726	TOOL_004-M-20170726-COMP	3.2	-26.9	0.21	4.13	5.88	4.56
BONA_071-M-6.5-19-20190826	BONA_071-M-20190826-COMP	4.4	-26.3	0.18	3.7	4.88	3.99
BONA_071-M-39-31.5-20190826	BONA_071-M-20190826-COMP	3.9	-27	0.1	2.07	4.99	4.21
BONA_071-M-37-8.5-20190826	BONA_071-M-20190826-COMP	4.1	-25.7	0.58	11.39	5.15	4.29
BONA_071-O-39-31.5-20190826	BONA_071-O-20190826-COMP	1.1	-27.9	0.76	47.09	4.18	3.19
BONA_071-O-37-8.5-20190826	BONA_071-O-20190826-COMP	1.9	-27.4	1.4	43.07	4.46	3.75
BONA_071-O-6.5-19-20190826	BONA_071-O-20190826-COMP	-1.8	-28	1.03	50.6	4.2	3.47
BONA_070-M-26-8.5-20190826	BONA_070-M-20190826-COMP	4.1	-26.6	0.4	8.31	4.89	4.32
BONA_070-M-30-21.5-20190826	BONA_070-M-20190826-COMP	4.7	-26.3	1.49	35.73	4.89	4.21
BONA_070-M-3-13.5-20190826	BONA_070-M-20190826-COMP	2.5	-26.5	0.51	11.14	4.99	4.16
BONA_070-O-26-8.5-20190826	BONA_070-O-20190826-COMP	1.2	-28.7	1.25	50.48	4.41	3.49
BONA_070-O-3-13.5-20190826	BONA_070-O-20190826-COMP	2.7	-27.2	1.7	46.2	4.91	3.77
BONA_070-O-30-21.5-20190826	BONA_070-O-20190826-COMP	4.6	-26.7	1.34	48.07	4.91	3.64
BONA_080-O-30-6-20190826	BONA_080-O-20190826-COMP	2.6	-26.6	1.42	40.11	4.45	3.57
BONA_080-O-5-9-20190826	BONA_080-O-20190826-COMP	2.9	-27.4	1.02	34.67	4.38	3.43
BONA_080-O-5-9-20190826	BONA_080-O-20190826-COMP	2.9	-27	0.96	35.89	4.38	3.43
BONA_080-O-8.5-24-20190826	BONA_080-O-20190826-COMP	2.4	-27.9	1	32.76	4.54	3.74
BONA_080-M-30-6-20190826	BONA_080-M-20190826-COMP	3.4	-26.5	0.19	4.04	5.11	4.06
BONA_080-M-8.5-24-20190826	BONA_080-M-20190826-COMP	3.7	-26.3	0.26	5.13	5.08	4.32
BONA_080-M-5-9-20190826	BONA_080-M-20190826-COMP	4.4	-26.1	0.35	7.62	4.82	4.03
BONA_006-O-24.5-34.5-20190828	BONA_006-O-20190828-COMP	2.4	-28.5	0.94	46.7	4.51	3.04
BONA_006-O-24.5-34.5-20190828	BONA_006-O-20190828-COMP	2.7	-28.3	0.93	46.38	4.51	3.04
BONA_006-O-34.5-17.5-20190828	BONA_006-O-20190828-COMP	2.6	-27.7	1.23	42.88	4.13	3.39
BONA_006-O-2-31.5-20190828	BONA_006-O-20190828-COMP	2.9	-26.4	0.63	23.71	3.93	3.22
BONA_006-M-2-31.5-20190828	BONA_006-M-20190828-COMP	4.1	-25.8	0.23	6.67	4.28	3.6
BONA_006-M-24.5-34.5-20190828	BONA_006-M-20190828-COMP	3.6	-23.9	0.76	22.47	3.86	3.01
BONA_006-M-34.5-17.5-20190828	BONA_006-M-20190828-COMP	-3.4	-26.4	0.23	7.61	4.77	3.95
BONA_013-O-31-29.5-20190828	BONA_013-O-20190828-COMP	1.7	-27.6	0.83	16.27	4.16	3.33
BONA_013-O-19-30.5-20190828	BONA_013-O-20190828-COMP	2.3	-28.1	1.57	36.94	4.17	3.55
BONA_013-O-11.5-2.5-20190828	BONA_013-O-20190828-COMP	1.7	-27.2	1.18	24.23	4.35	3.52
BONA_013-M-19-30.5-20190828	BONA_013-M-20190828-COMP	3.5	-26.7	0.21	4.28	4.56	3.56
BONA_013-M-19-30.5-20190828	BONA_013-M-20190828-COMP	3.6	-26.7	0.2	4.15	4.56	3.56
BONA_013-M-11.5-2.5-20190828	BONA_013-M-20190828-COMP	3.3	-27.1	0.16	3.16	4.5	3.73
BONA_013-M-31-29.5-20190828	BONA_013-M-20190828-COMP	4.1	-26.5	0.14	2.51	4.73	3.91
BONA_002-M-18.5-36-20190828	BONA_002-M-20190828-COMP	3.2	-26.8	0.3	4.96	4.81	4.16
BONA_002-M-33.5-34.5-20190828	BONA_002-M-20190828-COMP	2.8	-26.6	0.17	2.47	5.08	4.34
BONA_002-M-6-8.5-20190828	BONA_002-M-20190828-COMP	2.3	-27.3	0.19	3.01	4.83	4.08
BONA_002-O-6-8.5-20190828	BONA_002-O-20190828-COMP	1.7	-27.5	0.76	12.27	4.59	3.71
BONA_002-O-18.5-36-20190828	BONA_002-O-20190828-COMP	1	-27.9	1.77	31.82	4.67	4.01
BONA_002-O-33.5-34.5-20190828	BONA_002-O-20190828-COMP	0.9	-27.8	1.58	30.12	4.72	3.96
BONA_009-O-32-16-20190828	BONA_009-O-20190828-COMP	1.4	-28.6	1.58	40.45	4.27	3.56
BONA_009-O-31.5-32.5-20190828	BONA_009-O-20190828-COMP	0.9	-27.7	1.53	46.22	4.61	3.67
BONA_009-O-2.5-24.5-20190828	BONA_009-O-20190828-COMP	2.4	-27.2	1.65	38.42	4.55	3.59
BONA_009-M-2.5-24.5-20190828	BONA_009-M-20190828-COMP	3.3	-26.1	0.87	18.7	4.93	3.96
BONA_009-M-31.5-32.5-20190828	BONA_009-M-20190828-COMP	3.8	-26.2	0.81	16.91	4.37	3.66
BONA_009-M-32-16-20190828	BONA_009-M-20190828-COMP	3.8	-27.2	0.45	7.04	4.63	4.14
BONA_084-O-13.5-34-20190830	BONA_084-O-20190830-COMP	2.6	-28.4	1.58	33.11	4.92	4.33
BONA_084-O-20.5-9.5-20190830	BONA_084-O-20190830-COMP	3.2	-28.7	1.75	42.18	5.52	4.95
BONA_084-O-5-10.5-20190830	BONA_084-O-20190830-COMP	1.9	-28	1.68	35.62	5.15	4.45
BONA_084-M-13.5-34-20190830	BONA_084-M-20190830-COMP	4	-27.8	0.12	2.76	5.26	4.31
BONA_084-M-5-10.5-20190830	BONA_084-M-20190830-COMP	3.1	-27.6	0.22	3.98	5.28	4.53
BONA_084-M-20.5-9.5-20190830	BONA_084-M-20190830-COMP	5	-27.6	0.09	1.85	5.18	4.37
BONA_001-O-26-4.5-20190830	BONA_001-O-20190830-COMP	2.8	-28.1	1.64	47.49	4.69	3.65
BONA_001-O-28-37.5-20190830	BONA_001-O-20190830-COMP	2.2	-28.7	1.1	27.42	4.5	3.89
BONA_001-O-15-34-20190830	BONA_001-O-20190830-COMP	3.4	-27.8	1.45	36.94	4.14	3.37
BONA_001-M-26-4.5-20190830	BONA_001-M-20190830-COMP	3.9	-26.5	0.61	10.38	4.1	3.4
BONA_001-M-26-4.5-20190830	BONA_001-M-20190830-COMP	4.4	-26.6	0.6	10.44	4.1	3.4
BONA_001-M-15-34-20190830	BONA_001-M-20190830-COMP	4.4	-27	0.26	5.63	4.27	3.55
BONA_001-M-28-37.5-20190830	BONA_001-M-20190830-COMP	5.1	-27.5	0.12	2.35	4.81	3.95
BONA_004-M-13.5-32.5-20190830	BONA_004-M-20190830-COMP	4.6	-26.4	0.21	4.24	4.85	3.71
BONA_004-M-17-6.5-20190830	BONA_004-M-20190830-COMP	5	-26.6	0.14	3.17	4.78	4.04
BONA_004-M-23.5-6.5-20190830	BONA_004-M-20190830-COMP	4.9	-26.6	0.11	2.34	4.97	4.22
BONA_004-O-13.5-32.5-20190830	BONA_004-O-20190830-COMP	0.2	-28.8	1.11	45.95	4.27	3.26
BONA_004-O-17-6.5-20190830	BONA_004-O-20190830-COMP	2.3	-28.6	0.8	33.91	4.13	3.38
BONA_004-O-23.5-6.5-20190830	BONA_004-O-20190830-COMP	2.4	-28	0.83	31.48	4.06	3.33
DEJU_006-O-2.5-37.5-20180618	DEJU_006-O-20180618-COMP	-0.1	-25.2	0.73	15.03	4.85	4.26
DEJU_006-O-39.5-1.5-20180618	DEJU_006-O-20180618-COMP	0.2	-26.2	1.1	38.24	3.87	3.03
DEJU_006-O-25-32.5-20180618	DEJU_006-O-20180618-COMP	0.5	-26.1	0.45	13.75	2.28	3.6
DEJU_006-M-25-32.5-20180618	DEJU_006-M-20180618-COMP	5	-25.1	0.09	1.69	5.66	4.91
DEJU_006-M-2.5-37.5-20180618	DEJU_006-M-20180618-COMP	3.5	-25	0.14	2.47	5.74	5.24
DEJU_006-M-39.5-1.5-20180618	DEJU_006-M-20180618-COMP	3.2	-25.4	0.48	11.03	3.98	3.38
DEJU_014-O-14-9-20180618	DEJU_014-O-20180618-COMP	1.1	-27.7	1.31	39.91	5.53	5.14
DEJU_014-O-33.5-24.5-20180618	DEJU_014-O-20180618-COMP	2.1	-27.4	0.68	13.41	5.76	5.13
DEJU_014-O-21-9.5-20180618	DEJU_014-O-20180618-COMP	2.9	-27.9	0.5	11.17	5.41	4.13
DEJU_014-M-21-9.5-20180618	DEJU_014-M-20180618-COMP	4.9	-26.4	0.2	3.52	5.35	5.26
DEJU_014-M-33.5-24.5-20180618	DEJU_014-M-20180618-COMP	4	-26.6	0.17	3.1	5.85	5.8
DEJU_014-M-14-9-20180618	DEJU_014-M-20180618-COMP	5.4	-26.4	0.15	3.11	5.58	5.48
DEJU_001-O-20.5-37.5-20180619	DEJU_001-O-20180619-COMP	1.8	-26.8	0.86	24.34	4.73	4.02
DEJU_001-O-24.5-6.5-20180619	DEJU_001-O-20180619-COMP	3.3	-26.3	0.71	19.02	4.19	3.83
DEJU_001-O-2-34.5-20180619	DEJU_001-O-20180619-COMP	2.4	-26.2	0.65	14.61	4.94	4.24
DEJU_001-M-20.5-37.5-20180619	DEJU_001-M-20180619-COMP	4.4	-26.5	0.23	5.29	5.31	4.86
DEJU_001-M-2-34.5-20180619	DEJU_001-M-20180619-COMP	4.8	-26.4	0.23	5.03	5.64	4.83
DEJU_001-M-24.5-6.5-20180619	DEJU_001-M-20180619-COMP	4.5	-26.3	0.21	4.6	5.19	4.44
DEJU_002-O-21.5-30-20180619	DEJU_002-O-20180619-COMP	3.4	-27.6	0.56	15.04	5.09	4.27
DEJU_002-O-12.5-31-20180619	DEJU_002-O-20180619-COMP	2.4	-27.9	0.6	15.63	5.02	4.29
DEJU_002-O-9-18-20180619	DEJU_002-O-20180619-COMP	1.9	-27.9	0.85	21.81	5.58	5.14
DEJU_002-M-12.5-31-20180619	DEJU_002-M-20180619-COMP	5	-26.7	0.05	0.8	5.76	4.84
DEJU_002-M-9-18-20180619	DEJU_002-M-20180619-COMP	4.7	-26.4	0.09	2.03	5.75	5.33
DEJU_002-M-9-18-20180619	DEJU_002-M-20180619-COMP	5	-26.6	0.08	1.82	5.75	5.33
DEJU_002-M-21.5-30-20180619	DEJU_002-M-20180619-COMP	5.2	-26.7	0.06	1.04	5.73	4.62
DEJU_009-O-35.5-8-20180619	DEJU_009-O-20180619-COMP	3.2	-26.6	0.89	25.01	5.22	4.14
DEJU_009-O-36.5-23.5-20180619	DEJU_009-O-20180619-COMP	1.4	-26.5	1.33	30.06	4.49	3.85
DEJU_009-O-16.5-31.5-20180619	DEJU_009-O-20180619-COMP	1.2	-26.6	1.1	20.43	4.61	3.97
DEJU_009-M-16.5-31.5-20180619	DEJU_009-M-20180619-COMP	3.6	-25.9	0.16	2.64	5.38	5.26
DEJU_009-M-35.5-8-20180619	DEJU_009-M-20180619-COMP	5.3	-26.1	0.38	8.29	5.05	4.36
DEJU_009-M-36.5-23.5-20180619	DEJU_009-M-20180619-COMP	4.6	-26.3	0.12	2.21	5.27	4.57
DEJU_015-O-37-30-20180619	DEJU_015-O-20180619-COMP	3.4	-27.1	0.72	14.63	4.49	3.81
DEJU_015-O-15.5-2.5-20180619	DEJU_015-O-20180619-COMP	2.7	-27.7	0.74	18.54	4.36	3.7
DEJU_015-O-15.5-2.5-20180619	DEJU_015-O-20180619-COMP	2.9	-27.7	0.74	18.3	4.36	3.7
DEJU_015-O-22-5.5-20180619	DEJU_015-O-20180619-COMP	1.5	-27.1	1.54	30.85	4.34	3.61
DEJU_015-M-37-30-20180619	DEJU_015-M-20180619-COMP	4.6	-26.5	0.11	1.9	5.17	4.52
DEJU_015-M-22-5.5-20180619	DEJU_015-M-20180619-COMP	4.3	-26.1	0.07	1.04	5.46	5.07
DEJU_015-M-15.5-2.5-20180619	DEJU_015-M-20180619-COMP	4.7	-26.6	0.06	1.03	5.37	4.69
DEJU_048-O-16.5-8-20180621	DEJU_048-O-20180621-COMP	3	-27.5	0.29	12.2	4.49	3.41
DEJU_048-O-36.5-25.5-20180621	DEJU_048-O-20180621-COMP	2.1	-28.1	0.5	20.88	4.69	4.66
DEJU_048-O-20.5-7.5-20180621	DEJU_048-O-20180621-COMP	2.3	-27.5	0.38	15.77	4.77	3.91
DEJU_047-O-39-21.5-20180621	DEJU_047-O-20180621-COMP	0.4	-27.8	1.06	41.73	4.47	3.72
DEJU_047-O-2.5-32.5-20180621	DEJU_047-O-20180621-COMP	1.8	-27.5	0.86	31.25	5.23	4.82
DEJU_047-O-2.5-32.5-20180621	DEJU_047-O-20180621-COMP	1.9	-27.6	0.83	30.62	5.23	4.82
DEJU_047-O-32-18.5-20180621	DEJU_047-O-20180621-COMP	1	-27.7	1.06	38.29	4.47	3.79
DEJU_047-M-2.5-32.5-20180621	DEJU_047-M-20180621-COMP	5.3	-26.8	0.15	3.09	5.35	4.57
DEJU_047-M-32-18.5-20180621	DEJU_047-M-20180621-COMP	4.2	-27.1	0.12	2.2	5.66	5.07
DEJU_047-M-39-21.5-20180621	DEJU_047-M-20180621-COMP	3	-26.8	0.26	5.32	4.96	4.07
DEJU_048-M-16.5-8-20180621	DEJU_048-M-20180621-COMP	4.8	-25.9	0.13	2.59	5.64	5.49
DEJU_048-M-20.5-7.5-20180621	DEJU_048-M-20180621-COMP	4.1	-26.9	0.15	3.57	5.29	5.94
DEJU_048-M-36.5-25.5-20180621	DEJU_048-M-20180621-COMP	4.3	-27.1	0.22	5.22	5.06	4.2
DEJU_045-O-7.5-30-20180621	DEJU_045-O-20180621-COMP	2.4	-27.3	0.32	8.57	4.45	3.64
DEJU_045-O-37.5-28-20180621	DEJU_045-O-20180621-COMP	2.2	-27	0.43	9.52	5.86	4.81
DEJU_045-O-33.5-0-20180621	DEJU_045-O-20180621-COMP	2	-27.2	0.67	15.66	4.82	4.09
DEJU_045-M-33.5-0-20180621	DEJU_045-M-20180621-COMP	5.3	-25.9	0.09	1.8	5.53	5.17
DEJU_045-M-37.5-28-20180621	DEJU_045-M-20180621-COMP	4.8	-26.1	0.12	2.67	5.41	4.58
DEJU_045-M-7.5-30-20180621	DEJU_045-M-20180621-COMP	5.4	-25.9	0.1	1.76	5.99	5.11
DEJU_046-O-15-0-20180621	DEJU_046-O-20180621-COMP	3.8	-27	0.55	11.79	4.59	3.88
DEJU_046-O-32.5-5-20180621	DEJU_046-O-20180621-COMP	3.3	-27.1	0.29	7.66	4.75	3.72
DEJU_046-O-2.5-20.5-20180621	DEJU_046-O-20180621-COMP	1.8	-27.4	1	25.52	4.72	3.81
DEJU_046-M-15-0-20180621	DEJU_046-M-20180621-COMP	5.2	-26.3	0.12	2.12	5.6	5.3
DEJU_046-M-32.5-5-20180621	DEJU_046-M-20180621-COMP	4.6	-26.6	0.13	3.34	5.54	5.01
DEJU_046-M-32.5-5-20180621	DEJU_046-M-20180621-COMP	4.9	-26.3	0.12	2.36	5.54	5.01
DEJU_046-M-2.5-20.5-20180621	DEJU_046-M-20180621-COMP	4.4	-26.8	0.31	7.53	4.84	4.15
