genomicsSampleID	d15N	organicd13C	nitrogenPercent	organicCPercent	soilInWaterpH	soilInCaClpH
BONA_001-M-20190830-COMP	4.45	-26.9	0.39749999999999996	7.2	4.244016598042822	3.5264201666596438
BONA_001-O-20190830-COMP	2.8	-28.2	1.3966666666666667	37.28333333333333	4.382008584837817	3.5854296259974285
BONA_002-M-20190828-COMP	2.7666666666666666	-26.900000000000002	0.22	3.48	4.8905689675004425	4.18030629561811
BONA_002-O-20190828-COMP	1.2	-27.733333333333334	1.37	24.736666666666668	4.656668976198325	3.872510770916901
BONA_004-M-20190830-COMP	4.833333333333333	-26.533333333333335	0.15333333333333332	3.25	4.859738844104635	3.9374913412495136
BONA_004-O-20190830-COMP	1.6333333333333333	-28.46666666666667	0.9133333333333333	37.11333333333333	4.144823078895774	3.3205280708807954
BONA_006-M-20190828-COMP	1.4333333333333333	-25.366666666666667	0.4066666666666667	12.25	4.160099786050325	3.349813063103226
BONA_006-O-20190828-COMP	2.65	-27.725	0.9325	39.917500000000004	4.198207642974911	3.14966603883718
BONA_009-M-20190828-COMP	3.6333333333333333	-26.5	0.71	14.216666666666667	4.585867013792374	3.8741203225844125
BONA_009-O-20190828-COMP	1.5666666666666667	-27.833333333333332	1.5866666666666667	41.696666666666665	4.450040470302495	3.6042318721780466
BONA_013-M-20190828-COMP	3.625	-26.75	0.1775	3.5250000000000004	4.579515238073099	3.667520470183583
BONA_013-O-20190828-COMP	1.9	-27.633333333333333	1.1933333333333334	25.813333333333333	4.218340937307216	3.4552836425262807
BONA_070-M-20190826-COMP	3.7666666666666666	-26.46666666666667	0.8	18.39333333333333	4.920843835705682	4.224983076929779
BONA_070-O-20190826-COMP	2.833333333333333	-27.53333333333333	1.43	48.25	4.67427989476056	3.618280525564642
BONA_071-M-20190826-COMP	4.133333333333333	-26.333333333333332	0.2866666666666666	5.720000000000001	4.992893255726082	4.144127782271529
BONA_071-O-20190826-COMP	0.39999999999999997	-27.766666666666666	1.0633333333333332	46.92	4.262704590950701	3.411793180226391
BONA_080-M-20190826-COMP	3.8333333333333335	-26.3	0.26666666666666666	5.596666666666667	4.982747879259006	4.118644262331265
BONA_080-O-20190826-COMP	2.7	-27.225	1.1	35.8575	4.432692637816819	3.52498509761546
BONA_084-M-20190830-COMP	4.033333333333333	-27.666666666666668	0.14333333333333334	2.8633333333333333	5.237811317077787	4.393805270815913
BONA_084-O-20190830-COMP	2.566666666666667	-28.366666666666667	1.67	36.97	5.132295808373139	4.506425606222746
DEJU_001-M-20180619-COMP	4.566666666666666	-26.4	0.22333333333333333	4.973333333333334	5.342141408440854	4.664858276415403
DEJU_001-O-20180619-COMP	2.5	-26.433333333333334	0.74	19.323333333333334	4.5009188302711545	3.9986210032444096
DEJU_002-M-20180619-COMP	4.975	-26.6	0.07	1.4224999999999999	5.747362545064845	4.9226554479994755
DEJU_002-O-20180619-COMP	2.5666666666666664	-27.8	0.67	17.493333333333332	5.169443428514978	4.426998060747273
DEJU_006-M-20180618-COMP	3.9	-25.166666666666668	0.23666666666666666	5.0633333333333335	4.440810543555248	3.8387054141622823
DEJU_006-O-20180618-COMP	0.2	-25.833333333333332	0.76	22.34	2.744961090219772	3.3839108031488068
DEJU_009-M-20180619-COMP	4.5	-26.1	0.22	4.38	5.211089078656261	4.595951572688747
DEJU_009-O-20180619-COMP	1.9333333333333333	-26.566666666666666	1.1066666666666667	25.166666666666668	4.678249370775009	3.970820184322592
DEJU_014-M-20180618-COMP	4.766666666666667	-26.466666666666665	0.17333333333333334	3.243333333333333	5.547209992646872	5.460438284066558
DEJU_014-O-20180618-COMP	2.033333333333333	-27.666666666666664	0.8300000000000001	21.496666666666666	5.543661224748638	4.528764603450032
DEJU_015-M-20180619-COMP	4.533333333333333	-26.400000000000002	0.08	1.3233333333333333	5.315933194106	4.705326030651657
DEJU_015-O-20180619-COMP	2.625	-27.4	0.935	20.580000000000002	4.383599716678373	3.699293122095833
DEJU_045-M-20180621-COMP	5.166666666666667	-25.966666666666665	0.10333333333333333	2.0766666666666667	5.581425086108062	4.866184627314189
DEJU_045-O-20180621-COMP	2.2	-27.166666666666668	0.47333333333333333	11.25	4.761140163632029	3.9640928896270258
DEJU_046-M-20180621-COMP	4.775	-26.5	0.16999999999999998	3.8375	5.245377504099724	4.622733850182748
DEJU_046-O-20180621-COMP	2.966666666666667	-27.166666666666668	0.6133333333333333	14.99	4.680953939907961	3.7983722168222527
DEJU_047-M-20180621-COMP	4.166666666666667	-26.900000000000002	0.17666666666666667	3.5366666666666666	5.231130644711638	4.395988149974949
DEJU_047-O-20180621-COMP	1.275	-27.65	0.9525	35.4725	4.70144325968978	4.018863137669841
DEJU_048-M-20180621-COMP	4.3999999999999995	-26.633333333333333	0.16666666666666666	3.793333333333333	5.269510651879143	4.647947309410978
DEJU_048-O-20180621-COMP	2.466666666666667	-27.7	0.39	16.28333333333333	4.633519877416339	3.7496209580531312
TOOL_001-M-20170721-COMP	0.19999999999999996	-27.35	0.7050000000000001	16.5	5.49278644520483	4.2868688857093
TOOL_001-O-20170721-COMP	1.5999999999999999	-26.133333333333333	1.2933333333333334	29.906666666666666	5.300194159082703	4.56307855221063
TOOL_002-M-20170721-COMP	3.6	-26.6	0.385	6.465	5.81487306917794	4.968492510328141
TOOL_002-O-20170721-COMP	3.125	-26.225	1.9975	35.885	6.005333801113223	5.794047579760785
TOOL_003-O-20170726-COMP	2	-26.8	1.97	32.05	6.1675980113636255	5.6704370224512095
TOOL_004-M-20170726-COMP	2.3333333333333335	-27.3	0.18	3.526666666666667	5.8466073425227565	4.6397388441046346
TOOL_004-O-20170726-COMP	1.65	-26.35	1.47	30.075000000000003	5.1575158505928504	4.491698947597886
TOOL_005-M-20170721-COMP	3.15	-27.025	0.37250000000000005	7.4525	5.27493433383689	4.214530095448943
TOOL_005-O-20170721-COMP	2.6	-26.3	1.3299999999999998	38.97666666666667	5.1805667997075275	4.206962826506201
TOOL_006-M-20170721-COMP	1.2000000000000002	-26.549999999999997	0.32	5.73	5.4346914054906446	4.703293956243305
TOOL_006-O-20170721-COMP	1.7	-25.666666666666668	1.8733333333333333	35.86	5.595411439314352	4.788817269991247
TOOL_041-M-20170719-COMP	3	-26.1	0.15	3.09	NA	NA
TOOL_041-O-20170719-COMP	0.30000000000000004	-26.475	1.1875	37.1475	5.021684112233453	3.963769919454013
TOOL_042-M-20170719-COMP	3.2	-27.066666666666666	0.20333333333333334	4.63	5.738882997402769	4.457730939812126
TOOL_042-O-20170719-COMP	1.9333333333333333	-25.766666666666666	1.1433333333333333	32.263333333333335	5.326987634736353	4.582073931170765
TOOL_043-M-20170719-COMP	2.4	-27.5	0.12	2.59	5.79	4.4
TOOL_043-O-20170719-COMP	3.1	-26.033333333333335	1.19	37.49	4.907940008672037	3.8630286486917944
TOOL_044-M-20170719-COMP	2.9333333333333336	-26.46666666666667	0.19999999999999998	3.9366666666666665	NA	NA
TOOL_044-O-20170719-COMP	1.6	-26.566666666666666	1.34	32.056666666666665	5.07005266196066	4.70566639868066
